Season,TeamID,OrdinalRank
2003,1104,2
2003,1112,1
2003,1158,25
2003,1163,9
2003,1166,23
2003,1181,3
2003,1196,14
2003,1228,15
2003,1231,7
2003,1242,20
2003,1246,12
2003,1266,16
2003,1268,18
2003,1277,21
2003,1280,24
2003,1281,11
2003,1314,22
2003,1323,10
2003,1328,6
2003,1332,5
2003,1338,4
2003,1390,19
2003,1400,8
2003,1409,17
2003,1462,13
2004,1112,4
2004,1153,18
2004,1163,1
2004,1181,2
2004,1196,8
2004,1211,10
2004,1228,13
2004,1242,6
2004,1246,11
2004,1257,16
2004,1266,23
2004,1277,3
2004,1281,5
2004,1301,24
2004,1314,9
2004,1323,21
2004,1328,14
2004,1329,25
2004,1338,22
2004,1386,17
2004,1390,19
2004,1393,7
2004,1400,12
2004,1448,20
2004,1458,15
2005,1104,18
2005,1112,10
2005,1163,8
2005,1181,11
2005,1196,23
2005,1210,3
2005,1211,25
2005,1228,6
2005,1242,1
2005,1246,9
2005,1257,14
2005,1268,15
2005,1272,24
2005,1277,13
2005,1280,12
2005,1301,19
2005,1314,4
2005,1323,20
2005,1329,7
2005,1338,17
2005,1393,5
2005,1400,16
2005,1448,2
2005,1449,22
2005,1458,21
2006,1104,15
2006,1112,10
2006,1130,11
2006,1163,3
2006,1181,1
2006,1203,21
2006,1211,8
2006,1228,17
2006,1231,23
2006,1234,20
2006,1235,25
2006,1246,9
2006,1257,7
2006,1268,24
2006,1272,12
2006,1277,4
2006,1305,22
2006,1328,6
2006,1390,13
2006,1393,16
2006,1400,2
2006,1417,19
2006,1437,5
2006,1448,18
2006,1452,14
2007,1104,4
2007,1112,14
2007,1139,15
2007,1163,19
2007,1181,7
2007,1196,7
2007,1210,25
2007,1211,18
2007,1242,12
2007,1261,9
2007,1266,17
2007,1268,23
2007,1272,16
2007,1305,20
2007,1314,3
2007,1326,5
2007,1329,22
2007,1338,2
2007,1393,21
2007,1401,6
2007,1417,1
2007,1449,13
2007,1455,10
2007,1458,11
2007,1462,24
2008,1112,17
2008,1116,19
2008,1181,13
2008,1207,5
2008,1211,14
2008,1231,9
2008,1242,4
2008,1243,25
2008,1246,20
2008,1257,6
2008,1266,11
2008,1272,3
2008,1277,8
2008,1301,21
2008,1314,1
2008,1332,12
2008,1338,22
2008,1356,24
2008,1390,23
2008,1397,7
2008,1400,15
2008,1401,16
2008,1417,2
2008,1425,18
2008,1450,10
2009,1113,15
2009,1163,2
2009,1172,20
2009,1181,8
2009,1196,19
2009,1207,22
2009,1211,10
2009,1242,24
2009,1257,3
2009,1266,16
2009,1272,13
2009,1274,17
2009,1277,6
2009,1314,1
2009,1323,9
2009,1328,12
2009,1338,5
2009,1345,11
2009,1397,14
2009,1400,7
2009,1417,4
2009,1425,18
2009,1437,23
2009,1448,21
2009,1458,25
2010,1139,11
2010,1143,13
2010,1155,24
2010,1163,12
2010,1173,21
2010,1181,9
2010,1207,20
2010,1210,22
2010,1228,23
2010,1242,1
2010,1246,4
2010,1257,19
2010,1276,15
2010,1277,2
2010,1278,25
2010,1280,18
2010,1314,6
2010,1326,16
2010,1328,17
2010,1345,7
2010,1397,10
2010,1400,3
2010,1437,5
2010,1449,14
2010,1452,8
2011,1124,16
2011,1139,17
2011,1140,24
2011,1181,1
2011,1196,9
2011,1207,20
2011,1211,12
2011,1228,13
2011,1242,7
2011,1243,3
2011,1246,11
2011,1272,19
2011,1277,2
2011,1281,15
2011,1314,8
2011,1326,4
2011,1338,5
2011,1345,14
2011,1361,25
2011,1393,10
2011,1396,22
2011,1397,23
2011,1437,6
2011,1439,21
2011,1449,18
2012,1104,19
2012,1112,16
2012,1124,12
2012,1143,24
2012,1153,21
2012,1163,4
2012,1181,6
2012,1196,8
2012,1211,23
2012,1242,13
2012,1246,2
2012,1257,9
2012,1266,22
2012,1272,11
2012,1276,18
2012,1281,25
2012,1314,1
2012,1326,3
2012,1338,10
2012,1393,5
2012,1401,20
2012,1417,17
2012,1435,7
2012,1458,15
2012,1462,14
2013,1112,12
2013,1124,16
2013,1153,24
2013,1163,23
2013,1166,15
2013,1181,9
2013,1196,10
2013,1211,19
2013,1231,1
2013,1242,7
2013,1246,3
2013,1257,2
2013,1272,17
2013,1276,5
2013,1277,21
2013,1281,14
2013,1301,6
2013,1314,11
2013,1323,20
2013,1326,4
2013,1361,25
2013,1393,8
2013,1417,13
2013,1424,18
2013,1458,22
2014,1112,6
2014,1124,23
2014,1163,19
2014,1181,4
2014,1196,11
2014,1211,15
2014,1242,5
2014,1246,1
2014,1257,3
2014,1266,17
2014,1272,13
2014,1276,7
2014,1277,2
2014,1307,22
2014,1314,12
2014,1323,21
2014,1326,10
2014,1329,8
2014,1332,18
2014,1393,9
2014,1417,24
2014,1433,14
2014,1438,25
2014,1455,16
2014,1458,20
2015,1112,2
2015,1163,17
2015,1181,4
2015,1196,8
2015,1211,13
2015,1235,14
2015,1242,5
2015,1246,1
2015,1257,7
2015,1276,24
2015,1277,19
2015,1304,21
2015,1314,6
2015,1326,20
2015,1328,18
2015,1361,16
2015,1374,22
2015,1393,23
2015,1400,10
2015,1428,25
2015,1433,15
2015,1437,12
2015,1438,9
2015,1455,11
2015,1458,3
2016,1112,12
2016,1124,20
2016,1139,22
2016,1143,15
2016,1163,19
2016,1181,5
2016,1211,10
2016,1231,14
2016,1235,7
2016,1242,4
2016,1246,2
2016,1261,23
2016,1268,3
2016,1276,24
2016,1277,13
2016,1314,1
2016,1323,18
2016,1328,8
2016,1332,25
2016,1345,21
2016,1428,16
2016,1435,17
2016,1437,11
2016,1438,6
2016,1455,9
2017,1112,10
2017,1143,25
2017,1153,24
2017,1166,22
2017,1181,1
2017,1211,14
2017,1231,6
2017,1235,20
2017,1242,7
2017,1246,2
2017,1257,12
2017,1277,13
2017,1314,5
2017,1332,4
2017,1345,15
2017,1348,21
2017,1388,17
2017,1393,18
2017,1400,23
2017,1417,16
2017,1437,3
2017,1438,8
2017,1452,19
2017,1458,9
2017,1462,11
2018,1112,3
2018,1124,25
2018,1153,12
2018,1181,1
2018,1196,8
2018,1211,17
2018,1242,4
2018,1246,7
2018,1257,18
2018,1274,11
2018,1277,2
2018,1278,14
2018,1314,9
2018,1321,20
2018,1323,13
2018,1345,19
2018,1371,22
2018,1388,21
2018,1401,16
2018,1417,23
2018,1425,10
2018,1437,5
2018,1452,24
2018,1455,6
2018,1462,15
2019,1120,9
2019,1138,25
2019,1155,19
2019,1181,1
2019,1199,14
2019,1211,3
2019,1242,2
2019,1243,12
2019,1246,10
2019,1261,22
2019,1266,24
2019,1276,18
2019,1277,11
2019,1280,17
2019,1305,6
2019,1314,7
2019,1332,13
2019,1345,23
2019,1393,15
2019,1395,21
2019,1397,5
2019,1417,20
2019,1437,8
2019,1438,4
2019,1439,16
2020,1112,19
2020,1120,22
2020,1124,24
2020,1160,25
2020,1181,2
2020,1196,15
2020,1211,8
2020,1242,5
2020,1246,1
2020,1257,4
2020,1261,23
2020,1268,7
2020,1272,13
2020,1277,3
2020,1314,6
2020,1326,16
2020,1332,14
2020,1371,12
2020,1388,18
2020,1403,11
2020,1429,17
2020,1437,10
2020,1438,9
2020,1449,20
2020,1462,21
2021,1113,25
2021,1124,2
2021,1166,9
2021,1181,6
2021,1199,22
2021,1211,1
2021,1222,10
2021,1228,5
2021,1234,3
2021,1242,7
2021,1246,20
2021,1277,8
2021,1314,14
2021,1326,23
2021,1332,21
2021,1350,19
2021,1353,24
2021,1397,13
2021,1400,17
2021,1403,17
2021,1437,12
2021,1438,15
2021,1439,16
2021,1452,11
2021,1458,4
2022,1104,14
2022,1116,16
2022,1120,21
2022,1124,9
2022,1163,23
2022,1181,7
2022,1196,24
2022,1211,1
2022,1222,15
2022,1228,10
2022,1242,3
2022,1246,13
2022,1268,20
2022,1272,11
2022,1276,4
2022,1314,18
2022,1326,19
2022,1332,12
2022,1345,6
2022,1382,22
2022,1397,17
2022,1400,8
2022,1417,2
2022,1425,25
2022,1437,5
2023,1104,18
2023,1112,14
2023,1116,9
2023,1120,13
2023,1124,5
2023,1163,25
2023,1166,10
2023,1173,21
2023,1181,7
2023,1211,2
2023,1222,3
2023,1228,19
2023,1231,12
2023,1242,6
2023,1246,4
2023,1276,20
2023,1314,1
2023,1361,17
2023,1395,15
2023,1397,22
2023,1400,11
2023,1401,24
2023,1403,23
2023,1417,8
2023,1438,16
